time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003091,-0.1325,0.0382,-0.5276,0.545
0.003609,0.0081,0.0458,-0.6222,0.624
0.006918,0.1448,0.0523,-0.6551,0.673
0.015694,0.2587,0.0525,-0.6223,0.676
0.016221,0.3312,0.0510,-0.5387,0.634
0.026482,0.3481,0.0499,-0.4332,0.558
0.027110,0.3097,0.0347,-0.2988,0.432
0.030896,0.2396,0.0243,-0.1639,0.291
0.036610,0.1730,0.0139,-0.0639,0.185
0.039635,0.1211,0.0035,0.0113,0.122
0.044792,0.0737,0.0024,0.0811,0.110
0.049611,0.0304,0.0034,0.1291,0.133
0.054005,-0.0019,-0.0030,0.1602,0.160
0.059770,-0.0233,-0.0095,0.1842,0.186
0.064292,-0.0408,-0.0091,0.1917,0.196
0.068024,-0.0590,-0.0160,0.1780,0.188
0.073758,-0.0609,-0.0207,0.1386,0.153
0.077443,-0.0322,-0.0184,0.0950,0.102
0.082332,-0.0155,-0.0184,0.0400,0.047
0.086784,0.0039,-0.0301,-0.0073,0.031
0.091146,0.0283,-0.0369,-0.0495,0.068
0.097704,0.0414,-0.0341,-0.0914,0.106
0.101618,0.0526,-0.0406,-0.0928,0.114
0.106650,0.0547,-0.0445,-0.0872,0.112
0.110892,0.0525,-0.0554,-0.0771,0.108
0.114705,0.0457,-0.0591,-0.0528,0.092
0.122889,0.0248,-0.0581,-0.0217,0.067
0.124048,0.0014,-0.0594,-0.0004,0.059
0.131688,-0.0078,-0.0489,0.0113,0.051
0.134129,-0.0268,-0.0481,0.0277,0.062
0.138033,-0.0413,-0.0544,0.0465,0.083
0.143907,-0.0515,-0.0514,0.0533,0.090
0.148527,-0.0571,-0.0437,0.0507,0.088
0.152312,-0.0463,-0.0386,0.0339,0.069
0.156821,-0.0357,-0.0311,0.0126,0.049
0.161578,-0.0230,-0.0212,0.0010,0.031
0.167073,-0.0149,-0.0209,-0.0153,0.030
0.170849,-0.0161,-0.0229,-0.0339,0.044
0.176352,-0.0148,-0.0130,-0.0405,0.045
0.181565,-0.0061,-0.0032,-0.0447,0.045
0.186137,0.0122,-0.0051,-0.0443,0.046
0.190496,0.0305,0.0095,-0.0296,0.044
0.194473,0.0441,0.0240,-0.0080,0.051
0.199930,0.0480,0.0242,0.0064,0.054
0.203704,0.0591,0.0171,0.0087,0.062
0.208814,0.0653,0.0170,0.0205,0.071
0.215216,0.0668,0.0217,0.0276,0.075
0.219666,0.0779,0.0167,0.0345,0.087
0.222637,0.0771,0.0117,0.0414,0.088
0.231664,0.0597,0.0162,0.0482,0.078
0.232299,0.0447,0.0254,0.0598,0.079
0.239570,0.0225,0.0297,0.0475,0.060
0.241017,0.0050,0.0292,0.0473,0.056
0.245853,-0.0006,0.0286,0.0519,0.059
0.250516,-0.0063,0.0231,0.0256,0.035
0.255589,-0.0144,0.0201,-0.0099,0.027
0.264572,-0.0178,0.0195,-0.0261,0.037
0.265210,-0.0140,0.0117,-0.0469,0.050
0.269251,-0.0031,0.0018,-0.0819,0.082
0.274181,0.0054,-0.0008,-0.0904,0.091
0.278599,0.0114,-0.0033,-0.0799,0.081
0.283316,0.0199,0.0015,-0.0743,0.077
0.287924,0.0284,-0.0104,-0.0688,0.075
0.293779,0.0226,-0.0220,-0.0562,0.064
0.297703,0.0124,0.0069,-0.0438,0.046
0.302964,0.0118,0.0236,-0.0315,0.041
0.307699,0.0090,0.0166,-0.0123,0.023
0.311557,0.0039,0.0121,-0.0003,0.013
0.317209,-0.0059,0.0123,0.0092,0.016
0.323567,-0.0156,0.0102,0.0091,0.021
0.325797,-0.0182,0.0058,0.0137,0.024
0.330645,-0.0232,0.0012,0.0279,0.036
0.335491,-0.0257,0.0038,0.0348,0.043
0.339674,-0.0188,0.0134,0.0346,0.042
0.344455,-0.0143,0.0158,0.0391,0.045
0.349304,-0.0217,0.0063,0.0389,0.045
0.355636,-0.0101,0.0039,0.0362,0.038
0.358211,0.0016,0.0181,0.0217,0.028
0.365433,0.0180,0.0298,-0.0021,0.035
0.368591,0.0366,0.0272,-0.0140,0.048
0.373061,0.0386,0.0223,-0.0162,0.047
0.377299,0.0502,0.0294,-0.0256,0.064
0.381712,0.0618,0.0365,-0.0421,0.083
0.386950,0.0592,0.0459,-0.0442,0.087
0.391032,0.0638,0.0459,-0.0487,0.092
0.395656,0.0637,0.0318,-0.0533,0.089
0.401303,0.0493,0.0154,-0.0578,0.077
0.405492,0.0327,0.0063,-0.0646,0.073
0.410157,0.0162,-0.0026,-0.0643,0.066
0.414879,0.0021,-0.0067,-0.0520,0.053
0.419498,-0.0119,-0.0036,-0.0376,0.040
0.423970,-0.0307,-0.0100,-0.0303,0.044
0.429149,-0.0471,-0.0115,-0.0278,0.056
0.434106,-0.0613,-0.0154,-0.0205,0.066
0.438195,-0.0708,-0.0073,-0.0133,0.072
0.443482,-0.0876,0.0126,0.0058,0.089
0.447696,-0.0998,0.0062,0.0129,0.101
0.452422,-0.1073,0.0023,0.0058,0.107
0.456629,-0.1126,0.0102,0.0082,0.113
