time,gFx,gFy,gFz,TgF
0.001183594,0.0332,-0.1424,0.9760,0.987
0.001563386,0.0352,-0.1424,0.9725,0.984
0.001784948,0.0374,-0.1419,0.9696,0.981
0.001990573,0.0384,-0.1431,0.9669,0.978
0.002142292,0.0386,-0.1429,0.9657,0.977
0.007424688,0.0381,-0.1427,0.9667,0.978
0.008502448,0.0359,-0.1437,0.9679,0.979
0.008734271,0.0345,-0.1417,0.9689,0.980
0.009551198,0.0332,-0.1407,0.9716,0.982
0.037565105,0.0315,-0.1414,0.9762,0.987
0.03843099,0.0303,-0.1414,0.9813,0.992
0.038811875,0.0298,-0.1409,0.9838,0.994
0.039056407,0.0293,-0.1407,0.9877,0.998
0.039267292,0.0281,-0.1400,0.9923,1.003
0.040052292,0.0264,-0.1380,0.9948,1.005
0.040305886,0.0244,-0.1365,0.9989,1.008
0.040537709,0.0234,-0.1373,1.0018,1.011
0.040741927,0.0234,-0.1387,1.0033,1.013
0.040971823,0.0234,-0.1375,1.0048,1.014
0.041166667,0.0230,-0.1363,1.0063,1.016
0.041336823,0.0222,-0.1378,1.0070,1.017
0.04151474,0.0210,-0.1390,1.0085,1.018
0.045014532,0.0203,-0.1395,1.0104,1.020
0.045640469,0.0195,-0.1402,1.0109,1.021
0.048653021,0.0205,-0.1407,1.0112,1.021
0.049648073,0.0210,-0.1414,1.0102,1.020
0.051647552,0.0208,-0.1422,1.0097,1.020
0.055954844,0.0212,-0.1417,1.0107,1.021
0.05648875,0.0217,-0.1427,1.0109,1.021
0.058895313,0.0222,-0.1434,1.0097,1.020
0.062143698,0.0222,-0.1427,1.0099,1.020
0.065331042,0.0225,-0.1414,1.0104,1.021
0.065800729,0.0232,-0.1402,1.0094,1.019
0.068144844,0.0242,-0.1400,1.0082,1.018
0.071000938,0.0256,-0.1402,1.0080,1.018
0.073082032,0.0261,-0.1392,1.0065,1.016
0.0750025,0.0261,-0.1380,1.0053,1.015
0.078600052,0.0271,-0.1361,1.0046,1.014
0.08220875,0.0281,-0.1339,1.0036,1.013
0.082760104,0.0288,-0.1334,1.0018,1.011
0.084676042,0.0288,-0.1331,1.0001,1.009
0.087290417,0.0291,-0.1324,0.9982,1.007
0.091128386,0.0293,-0.1314,0.9952,1.004
0.091775729,0.0293,-0.1312,0.9948,1.004
0.093763177,0.0291,-0.1317,0.9945,1.004
0.096212709,0.0291,-0.1322,0.9940,1.003
0.098472396,0.0296,-0.1314,0.9957,1.005
0.10151349,0.0286,-0.1304,0.9984,1.007
0.104049896,0.0281,-0.1324,0.9989,1.008
0.10809599,0.0291,-0.1344,0.9987,1.008
0.108716875,0.0301,-0.1344,0.9999,1.009
0.110241042,0.0293,-0.1346,1.0016,1.011
0.112865157,0.0286,-0.1353,1.0028,1.012
0.115008907,0.0293,-0.1356,1.0028,1.012
0.117397396,0.0298,-0.1368,1.0026,1.012
0.120654792,0.0308,-0.1385,1.0031,1.013
0.124694584,0.0303,-0.1395,1.0041,1.014
0.125347448,0.0281,-0.1419,1.0033,1.014
0.126646146,0.0281,-0.1427,1.0024,1.013
0.129632188,0.0283,-0.1424,1.0036,1.014
0.131040052,0.0276,-0.1427,1.0038,1.014
0.134369479,0.0278,-0.1437,1.0038,1.014
0.136510625,0.0288,-0.1441,1.0046,1.015
0.141454323,0.0273,-0.1449,1.0060,1.017
0.142157188,0.0259,-0.1456,1.0075,1.018
0.142882032,0.0264,-0.1451,1.0065,1.017
0.145343334,0.0264,-0.1456,1.0063,1.017
0.150748177,0.0256,-0.1459,1.0075,1.018
0.151492344,0.0256,-0.1449,1.0065,1.017
0.152399323,0.0256,-0.1444,1.0058,1.016
0.154457865,0.0239,-0.1439,1.0055,1.016
0.15733224,0.0237,-0.1439,1.0058,1.016
0.159445834,0.0254,-0.1449,1.0050,1.016
0.163217136,0.0249,-0.1444,1.0026,1.013
0.164092813,0.0230,-0.1424,1.0011,1.011
0.166430834,0.0242,-0.1414,1.0011,1.011
0.16844224,0.0256,-0.1424,1.0001,1.011
0.171865573,0.0251,-0.1424,0.9982,1.009
0.173567709,0.0269,-0.1417,0.9984,1.009
0.175492188,0.0286,-0.1414,0.9962,1.007
0.178064219,0.0298,-0.1414,0.9945,1.005
0.182858386,0.0313,-0.1417,0.9938,1.004
0.18346099,0.0303,-0.1431,0.9921,1.003
0.184689427,0.0303,-0.1437,0.9921,1.003
0.18747224,0.0323,-0.1424,0.9926,1.003
0.189357396,0.0335,-0.1419,0.9938,1.004
0.191924688,0.0359,-0.1427,0.9943,1.005
0.194445625,0.0379,-0.1424,0.9948,1.006
0.19644125,0.0389,-0.1422,0.9967,1.008
0.198705,0.0389,-0.1427,0.9977,1.009
0.201811302,0.0381,-0.1429,0.9967,1.008
0.204394532,0.0393,-0.1422,0.9970,1.008
0.205869532,0.0391,-0.1424,1.0001,1.011
0.208642032,0.0379,-0.1439,1.0011,1.012
0.21066,0.0379,-0.1439,1.0001,1.011
0.212736094,0.0381,-0.1437,1.0011,1.012
0.215166979,0.0393,-0.1429,1.0041,1.015
0.218129427,0.0393,-0.1424,1.0043,1.015
0.220464115,0.0393,-0.1437,1.0031,1.014
0.225160365,0.0398,-0.1434,1.0033,1.014
0.225824584,0.0379,-0.1422,1.0036,1.014
0.226786667,0.0364,-0.1412,1.0048,1.015
0.229215209,0.0371,-0.1402,1.0075,1.018
0.231395261,0.0367,-0.1405,1.0080,1.018
0.233596667,0.0354,-0.1407,1.0065,1.017
0.236249011,0.0354,-0.1407,1.0048,1.015
0.23836724,0.0347,-0.1392,1.0031,1.013
