time,gFx,gFy,gFz,TgF
0.003379115,-0.6997,-0.3467,0.6379,1.008
0.003854323,-0.7021,-0.3467,0.6462,1.015
0.004161615,-0.7038,-0.3476,0.6527,1.021
0.004387969,-0.7055,-0.3496,0.6594,1.027
0.013069063,-0.7084,-0.3484,0.6677,1.034
0.015726823,-0.7084,-0.3479,0.6738,1.038
0.016555677,-0.7082,-0.3498,0.6765,1.040
0.017208958,-0.7092,-0.3486,0.6787,1.042
0.017903958,-0.7092,-0.3459,0.6809,1.042
0.018629167,-0.7097,-0.3449,0.6828,1.043
0.023199063,-0.7111,-0.3467,0.6838,1.046
0.024352135,-0.7116,-0.3491,0.6843,1.047
0.025293385,-0.7128,-0.3489,0.6826,1.047
0.027279375,-0.7138,-0.3479,0.6796,1.045
0.031305104,-0.7126,-0.3479,0.6796,1.044
0.032095365,-0.7119,-0.3476,0.6791,1.043
0.034325417,-0.7106,-0.3481,0.6767,1.041
0.036779688,-0.7094,-0.3476,0.6735,1.038
0.039260208,-0.7082,-0.3469,0.6699,1.035
0.041270417,-0.7067,-0.3479,0.6647,1.031
0.043654219,-0.7065,-0.3469,0.6579,1.026
0.046724427,-0.7072,-0.3449,0.6530,1.023
0.048388281,-0.7072,-0.3442,0.6501,1.020
0.051301667,-0.7067,-0.3435,0.6481,1.019
0.053061042,-0.7067,-0.3437,0.6462,1.017
0.055615833,-0.7065,-0.3435,0.6437,1.016
0.0578425,-0.7055,-0.3432,0.6410,1.013
0.059878542,-0.7058,-0.3427,0.6374,1.011
0.062900885,-0.7077,-0.3418,0.6354,1.011
0.064797708,-0.7077,-0.3408,0.6320,1.008
0.067130937,-0.7065,-0.3398,0.6283,1.005
0.070825521,-0.7070,-0.3413,0.6259,1.004
0.074615677,-0.7075,-0.3423,0.6222,1.002
0.075276823,-0.7077,-0.3418,0.6195,1.001
0.076555156,-0.7070,-0.3430,0.6183,1.000
0.083781615,-0.7055,-0.3420,0.6169,0.998
0.08438599,-0.7045,-0.3403,0.6147,0.995
0.08469625,-0.7031,-0.3413,0.6134,0.994
0.086367708,-0.7011,-0.3425,0.6125,0.992
0.088409219,-0.6989,-0.3430,0.6134,0.991
0.090601146,-0.6972,-0.3420,0.6151,0.991
0.09292974,-0.6950,-0.3425,0.6147,0.989
0.095758177,-0.6936,-0.3432,0.6151,0.989
0.101096094,-0.6940,-0.3432,0.6164,0.990
0.101753385,-0.6945,-0.3423,0.6181,0.991
0.102120937,-0.6948,-0.3427,0.6208,0.993
0.105561667,-0.6953,-0.3432,0.6220,0.994
0.107056771,-0.6957,-0.3430,0.6227,0.995
0.10918276,-0.6957,-0.3435,0.6239,0.996
0.112125625,-0.6955,-0.3435,0.6252,0.996
0.117650052,-0.6965,-0.3430,0.6266,0.998
0.118389896,-0.6962,-0.3420,0.6269,0.997
0.118868646,-0.6962,-0.3425,0.6271,0.998
0.121811719,-0.6977,-0.3425,0.6281,0.999
0.123334375,-0.6970,-0.3427,0.6293,1.000
0.125518646,-0.6955,-0.3432,0.6308,1.000
0.127977552,-0.6940,-0.3430,0.6315,0.999
0.130282708,-0.6926,-0.3435,0.6313,0.998
0.132710521,-0.6901,-0.3440,0.6315,0.997
0.135548802,-0.6882,-0.3442,0.6335,0.997
0.137549844,-0.6874,-0.3452,0.6342,0.997
0.142769844,-0.6870,-0.3464,0.6339,0.997
0.143419062,-0.6867,-0.3469,0.6347,0.997
0.144322187,-0.6857,-0.3469,0.6374,0.998
0.146736302,-0.6857,-0.3457,0.6391,0.999
0.148952708,-0.6860,-0.3447,0.6410,1.000
0.151185729,-0.6860,-0.3447,0.6442,1.002
0.154002344,-0.6848,-0.3440,0.6493,1.004
0.158783594,-0.6835,-0.3427,0.6552,1.007
0.159484167,-0.6831,-0.3427,0.6586,1.009
0.160721615,-0.6831,-0.3423,0.6621,1.011
0.163339844,-0.6831,-0.3408,0.6655,1.013
0.165870156,-0.6845,-0.3391,0.6701,1.016
0.167612187,-0.6860,-0.3379,0.6740,1.019
0.170665521,-0.6867,-0.3396,0.6748,1.021
0.175709479,-0.6889,-0.3396,0.6730,1.021
0.176362292,-0.6899,-0.3386,0.6706,1.020
0.177226771,-0.6906,-0.3381,0.6699,1.020
0.18298151,-0.6906,-0.3364,0.6684,1.018
0.183537708,-0.6906,-0.3352,0.6684,1.018
0.183839479,-0.6901,-0.3344,0.6669,1.016
0.186385417,-0.6892,-0.3318,0.6635,1.013
0.191408958,-0.6887,-0.3310,0.6611,1.010
0.191960208,-0.6879,-0.3303,0.6594,1.009
0.193363437,-0.6870,-0.3288,0.6567,1.006
0.196458073,-0.6870,-0.3286,0.6532,1.003
0.199859687,-0.6867,-0.3279,0.6515,1.002
0.200448854,-0.6853,-0.3281,0.6518,1.001
0.202544167,-0.6840,-0.3296,0.6510,1.000
0.204957969,-0.6843,-0.3308,0.6496,1.000
0.207219323,-0.6821,-0.3327,0.6501,0.999
0.210107187,-0.6784,-0.3332,0.6523,0.998
0.211986354,-0.6782,-0.3332,0.6527,0.999
0.214341302,-0.6765,-0.3357,0.6545,0.999
0.216590573,-0.6738,-0.3366,0.6579,1.000
0.219100885,-0.6726,-0.3364,0.6608,1.001
0.221344896,-0.6718,-0.3386,0.6638,1.003
0.223786302,-0.6718,-0.3413,0.6652,1.005
0.227274323,-0.6711,-0.3427,0.6691,1.008
0.229807552,-0.6721,-0.3440,0.6728,1.011
0.233021875,-0.6738,-0.3452,0.6757,1.015
0.23359224,-0.6748,-0.3449,0.6806,1.019
0.235197292,-0.6760,-0.3449,0.6862,1.023
0.238362969,-0.6760,-0.3469,0.6894,1.026
0.24000125,-0.6772,-0.3484,0.6936,1.030
0.242423802,-0.6782,-0.3481,0.6972,1.033
0.244685469,-0.6784,-0.3491,0.6977,1.034
0.247081198,-0.6799,-0.3510,0.6984,1.036
0.249361146,-0.6813,-0.3506,0.6992,1.037
0.251494687,-0.6823,-0.3508,0.6999,1.039
0.255428854,-0.6843,-0.3513,0.6997,1.040
0.256485729,-0.6857,-0.3501,0.6987,1.040
0.259039635,-0.6865,-0.3481,0.6987,1.040
0.260983802,-0.6870,-0.3471,0.6992,1.040
0.263381042,-0.6874,-0.3479,0.6984,1.040
0.265694375,-0.6887,-0.3484,0.6977,1.040
0.268939115,-0.6896,-0.3481,0.6975,1.041
0.27068526,-0.6906,-0.3484,0.6967,1.041
0.276088281,-0.6901,-0.3486,0.6940,1.039
0.276814896,-0.6909,-0.3491,0.6936,1.039
0.277375521,-0.6916,-0.3508,0.6933,1.040
0.284700104,-0.6906,-0.3515,0.6921,1.039
0.285405208,-0.6896,-0.3510,0.6896,1.037
0.285787604,-0.6901,-0.3503,0.6838,1.033
0.286787708,-0.6892,-0.3496,0.6809,1.030
0.290001823,-0.6853,-0.3484,0.6791,1.026
0.291526146,-0.6838,-0.3481,0.6745,1.022
0.294066875,-0.6835,-0.3474,0.6691,1.018
0.296488437,-0.6823,-0.3462,0.6638,1.013
0.2988025,-0.6806,-0.3486,0.6579,1.009
0.301524271,-0.6791,-0.3486,0.6505,1.003
0.302982083,-0.6784,-0.3462,0.6449,0.998
0.305287604,-0.6757,-0.3449,0.6405,0.993
0.307822031,-0.6738,-0.3437,0.6349,0.988
0.309832604,-0.6735,-0.3445,0.6288,0.984
0.313133125,-0.6733,-0.3462,0.6247,0.982
0.314866562,-0.6708,-0.3457,0.6225,0.978
0.317137187,-0.6686,-0.3452,0.6183,0.974
0.319383073,-0.6691,-0.3464,0.6139,0.972
0.321976875,-0.6691,-0.3459,0.6120,0.971
0.324470625,-0.6689,-0.3454,0.6095,0.969
0.327246667,-0.6701,-0.3459,0.6073,0.968
0.328980989,-0.6708,-0.3471,0.6061,0.968
0.334342448,-0.6716,-0.3471,0.6066,0.969
0.335298698,-0.6728,-0.3459,0.6078,0.970
0.335694114,-0.6738,-0.3459,0.6086,0.972
0.338314792,-0.6745,-0.3447,0.6076,0.971
0.341214271,-0.6755,-0.3442,0.6090,0.972
0.343214114,-0.6774,-0.3452,0.6122,0.976
0.345527812,-0.6799,-0.3452,0.6147,0.979
0.347770417,-0.6816,-0.3445,0.6173,0.982
0.350105573,-0.6840,-0.3445,0.6193,0.985
0.352821614,-0.6857,-0.3432,0.6205,0.986
0.354850989,-0.6872,-0.3427,0.6225,0.989
0.356855677,-0.6894,-0.3432,0.6252,0.992
0.359131354,-0.6921,-0.3427,0.6300,0.997
0.361353854,-0.6945,-0.3427,0.6352,1.002
0.364045364,-0.6972,-0.3442,0.6391,1.006
0.366299375,-0.6994,-0.3447,0.6432,1.011
0.369064687,-0.6994,-0.3452,0.6488,1.015
0.371057239,-0.6994,-0.3464,0.6562,1.020
0.373110989,-0.7004,-0.3467,0.6618,1.024
0.375259271,-0.6997,-0.3464,0.6667,1.027
0.377753333,-0.6984,-0.3462,0.6721,1.029
0.382776979,-0.6977,-0.3462,0.6767,1.032
0.384990885,-0.6975,-0.3469,0.6813,1.035
0.385442031,-0.6979,-0.3484,0.6843,1.038
0.388051406,-0.6970,-0.3493,0.6879,1.040
0.389988437,-0.6977,-0.3491,0.6921,1.043
0.39180875,-0.6977,-0.3486,0.6943,1.044
0.394964948,-0.6960,-0.3486,0.6987,1.046
0.397435781,-0.6953,-0.3496,0.7006,1.047
0.398814427,-0.6957,-0.3496,0.7011,1.048
0.401521771,-0.6950,-0.3506,0.7009,1.047
0.403723073,-0.6928,-0.3520,0.6992,1.045
0.405951146,-0.6911,-0.3513,0.6982,1.043
0.408185417,-0.6882,-0.3513,0.6950,1.039
0.410199062,-0.6860,-0.3528,0.6899,1.035
0.413681354,-0.6853,-0.3525,0.6855,1.031
0.41546625,-0.6843,-0.3528,0.6801,1.027
0.417373229,-0.6818,-0.3540,0.6769,1.024
0.419764635,-0.6796,-0.3545,0.6743,1.021
0.422168542,-0.6782,-0.3532,0.6699,1.017
0.424381458,-0.6769,-0.3515,0.6667,1.013
0.426517656,-0.6772,-0.3508,0.6633,1.011
0.430260104,-0.6799,-0.3493,0.6599,1.010
0.431954844,-0.6821,-0.3474,0.6569,1.009
0.434673125,-0.6840,-0.3452,0.6520,1.006
0.436538646,-0.6853,-0.3420,0.6452,1.001
0.438670104,-0.6879,-0.3410,0.6405,1.000
0.441262292,-0.6914,-0.3396,0.6383,1.000
0.443680989,-0.6926,-0.3376,0.6361,0.999
0.445680625,-0.6955,-0.3374,0.6339,1.000
0.448229531,-0.6977,-0.3362,0.6330,1.000
0.450774427,-0.6982,-0.3352,0.6322,1.000
0.452395,-0.6989,-0.3357,0.6310,1.000
0.45550526,-0.7004,-0.3359,0.6305,1.000
0.458221875,-0.7019,-0.3354,0.6303,1.001
0.459642917,-0.7004,-0.3344,0.6300,1.000
0.461663646,-0.6989,-0.3349,0.6293,0.998
0.464195937,-0.6992,-0.3352,0.6298,0.999
0.466685521,-0.6970,-0.3335,0.6310,0.998
0.469578281,-0.6953,-0.3342,0.6332,0.998
0.471732448,-0.6953,-0.3349,0.6347,0.999
0.47341776,-0.6943,-0.3357,0.6361,1.000
0.475696771,-0.6931,-0.3362,0.6383,1.000
0.479187604,-0.6931,-0.3359,0.6386,1.000
0.483182344,-0.6945,-0.3362,0.6403,1.003
0.484013385,-0.6955,-0.3369,0.6408,1.004
0.485074792,-0.6962,-0.3362,0.6386,1.003
0.487877135,-0.6950,-0.3357,0.6383,1.002
0.490243229,-0.6926,-0.3359,0.6403,1.001
0.492592969,-0.6931,-0.3349,0.6422,1.002
0.494263333,-0.6945,-0.3357,0.6418,1.003
0.496855104,-0.6948,-0.3359,0.6415,1.004
0.499347396,-0.6955,-0.3349,0.6427,1.004
0.50228526,-0.6955,-0.3342,0.6437,1.005
0.504381666,-0.6948,-0.3354,0.6452,1.006
0.50620276,-0.6943,-0.3366,0.6474,1.007
0.508810729,-0.6933,-0.3362,0.6498,1.008
0.511162656,-0.6923,-0.3376,0.6540,1.010
0.513133646,-0.6916,-0.3391,0.6574,1.013
0.515637291,-0.6894,-0.3403,0.6586,1.012
0.518750416,-0.6862,-0.3423,0.6606,1.012
0.520785312,-0.6833,-0.3437,0.6650,1.014
0.523295625,-0.6809,-0.3437,0.6672,1.013
0.525458489,-0.6787,-0.3442,0.6669,1.012
0.527147812,-0.6769,-0.3447,0.6672,1.011
0.530518281,-0.6740,-0.3459,0.6662,1.009
0.531966875,-0.6723,-0.3474,0.6672,1.009
0.534493333,-0.6713,-0.3469,0.6699,1.010
0.537350521,-0.6686,-0.3449,0.6701,1.008
0.540029531,-0.6669,-0.3437,0.6684,1.005
0.54153625,-0.6667,-0.3430,0.6679,1.004
0.544432656,-0.6660,-0.3418,0.6677,1.003
0.547707448,-0.6664,-0.3423,0.6677,1.004
0.548779791,-0.6679,-0.3423,0.6662,1.004
0.550621979,-0.6696,-0.3415,0.6635,1.003
0.552958958,-0.6713,-0.3410,0.6611,1.002
0.555368437,-0.6740,-0.3403,0.6576,1.001
0.558739531,-0.6787,-0.3408,0.6549,1.003
0.560934114,-0.6828,-0.3408,0.6525,1.004
0.563032656,-0.6860,-0.3405,0.6496,1.004
0.565157291,-0.6889,-0.3393,0.6484,1.005
0.566951146,-0.6914,-0.3391,0.6479,1.006
0.569378385,-0.6914,-0.3403,0.6491,1.008
0.571811302,-0.6906,-0.3405,0.6513,1.009
0.574256771,-0.6911,-0.3405,0.6537,1.010
0.576654323,-0.6901,-0.3410,0.6547,1.011
0.579571041,-0.6892,-0.3430,0.6554,1.011
0.584842604,-0.6887,-0.3454,0.6581,1.013
0.585840937,-0.6862,-0.3474,0.6621,1.015
0.586404271,-0.6840,-0.3489,0.6647,1.016
0.592279219,-0.6816,-0.3496,0.6679,1.016
0.593345469,-0.6791,-0.3496,0.6706,1.016
0.59395625,-0.6769,-0.3515,0.6728,1.017
0.595292552,-0.6750,-0.3540,0.6757,1.019
0.597683594,-0.6735,-0.3547,0.6774,1.019
0.599798229,-0.6728,-0.3557,0.6799,1.020
0.602274427,-0.6735,-0.3586,0.6823,1.024
0.605447187,-0.6733,-0.3601,0.6845,1.025
0.606655833,-0.6728,-0.3601,0.6862,1.026
0.609030677,-0.6713,-0.3615,0.6872,1.026
0.611497344,-0.6713,-0.3628,0.6887,1.028
0.613865,-0.6721,-0.3620,0.6894,1.029
0.61766526,-0.6713,-0.3623,0.6894,1.028
0.618423698,-0.6721,-0.3625,0.6889,1.028
0.621420625,-0.6726,-0.3608,0.6889,1.028
0.624188125,-0.6735,-0.3603,0.6865,1.027
0.625275573,-0.6755,-0.3618,0.6831,1.027
0.627540937,-0.6760,-0.3623,0.6799,1.025
0.630627448,-0.6782,-0.3618,0.6769,1.024
0.632277864,-0.6801,-0.3618,0.6745,1.024
0.635807708,-0.6821,-0.3625,0.6728,1.024
0.638041302,-0.6835,-0.3633,0.6704,1.024
0.640454583,-0.6838,-0.3630,0.6662,1.021
0.641697135,-0.6850,-0.3625,0.6630,1.020
0.644291458,-0.6862,-0.3637,0.6591,1.019
0.646896927,-0.6877,-0.3623,0.6554,1.017
0.64857625,-0.6884,-0.3601,0.6530,1.015
0.651391354,-0.6896,-0.3608,0.6508,1.015
0.653158958,-0.6916,-0.3606,0.6484,1.014
0.655578958,-0.6936,-0.3606,0.6454,1.014
0.65805,-0.6953,-0.3606,0.6430,1.013
0.660350416,-0.6957,-0.3611,0.6410,1.013
0.662608958,-0.6960,-0.3613,0.6386,1.011
0.665429427,-0.6948,-0.3613,0.6369,1.009
0.66743625,-0.6943,-0.3601,0.6342,1.007
0.669376041,-0.6948,-0.3596,0.6315,1.005
0.671914948,-0.6955,-0.3613,0.6288,1.005
0.674198698,-0.6957,-0.3608,0.6269,1.004
0.676699739,-0.6955,-0.3596,0.6269,1.003
0.679364427,-0.6962,-0.3584,0.6266,1.003
0.684616146,-0.6960,-0.3569,0.6261,1.002
0.685694427,-0.6953,-0.3564,0.6242,1.000
0.68625151,-0.6940,-0.3564,0.6208,0.997
0.692950833,-0.6928,-0.3572,0.6205,0.996
0.694026927,-0.6914,-0.3579,0.6222,0.997
0.69479625,-0.6904,-0.3579,0.6227,0.996
0.696237969,-0.6887,-0.3584,0.6225,0.995
0.699146979,-0.6865,-0.3603,0.6234,0.995
0.700171927,-0.6860,-0.3606,0.6269,0.997
0.702797031,-0.6853,-0.3611,0.6264,0.996
0.704880469,-0.6838,-0.3618,0.6247,0.994
0.707391979,-0.6826,-0.3623,0.6266,0.995
0.709122135,-0.6811,-0.3625,0.6291,0.996
0.711538281,-0.6804,-0.3628,0.6310,0.996
0.714171719,-0.6779,-0.3640,0.6337,0.997
0.71741625,-0.6740,-0.3650,0.6357,0.996
0.7185475,-0.6733,-0.3659,0.6366,0.996
0.722103125,-0.6748,-0.3664,0.6383,0.999
0.723368698,-0.6745,-0.3664,0.6400,0.999
0.725927396,-0.6740,-0.3669,0.6405,1.000
0.727831354,-0.6745,-0.3677,0.6410,1.001
0.730256666,-0.6762,-0.3679,0.6413,1.002
0.732655416,-0.6784,-0.3689,0.6427,1.005
0.73596875,-0.6811,-0.3681,0.6447,1.007
0.737489948,-0.6828,-0.3662,0.6464,1.009
0.740165521,-0.6838,-0.3657,0.6488,1.011
0.741881146,-0.6848,-0.3650,0.6503,1.012
0.744008698,-0.6850,-0.3642,0.6515,1.013
0.746573541,-0.6860,-0.3635,0.6527,1.014
0.749235364,-0.6877,-0.3613,0.6532,1.015
0.752043073,-0.6889,-0.3606,0.6547,1.016
0.754294791,-0.6921,-0.3611,0.6581,1.021
0.756128073,-0.6965,-0.3615,0.6618,1.027
0.758261614,-0.7004,-0.3608,0.6638,1.030
0.760899166,-0.7016,-0.3594,0.6647,1.031
0.763589479,-0.7033,-0.3586,0.6657,1.033
0.765437239,-0.7060,-0.3567,0.6677,1.035
0.768439271,-0.7070,-0.3554,0.6684,1.036
0.77103151,-0.7070,-0.3547,0.6669,1.035
0.773463854,-0.7065,-0.3542,0.6647,1.033
0.774503906,-0.7062,-0.3545,0.6621,1.031
0.776903385,-0.7055,-0.3540,0.6594,1.029
0.779909062,-0.7033,-0.3532,0.6574,1.025
0.782228698,-0.7001,-0.3520,0.6559,1.022
0.784822864,-0.6975,-0.3510,0.6537,1.018
0.786514271,-0.6945,-0.3518,0.6532,1.016
0.79107625,-0.6916,-0.3528,0.6525,1.014
0.792011875,-0.6899,-0.3523,0.6486,1.010
0.793344427,-0.6879,-0.3525,0.6452,1.007
0.796221093,-0.6865,-0.3535,0.6425,1.004
0.79867026,-0.6860,-0.3535,0.6408,1.003
0.800403437,-0.6855,-0.3528,0.6386,1.001
0.803056302,-0.6835,-0.3520,0.6371,0.999
0.804964583,-0.6801,-0.3520,0.6379,0.997
0.807891093,-0.6782,-0.3537,0.6400,0.997
0.810374323,-0.6784,-0.3545,0.6405,0.998
0.812758229,-0.6769,-0.3535,0.6408,0.997
0.814909166,-0.6757,-0.3528,0.6432,0.997
0.816729635,-0.6740,-0.3528,0.6444,0.997
0.819107812,-0.6728,-0.3520,0.6454,0.997
0.822643073,-0.6730,-0.3503,0.6464,0.997
0.823729479,-0.6733,-0.3503,0.6474,0.998
0.826514062,-0.6743,-0.3501,0.6479,0.998
0.82940776,-0.6755,-0.3491,0.6474,0.999
0.832239739,-0.6774,-0.3484,0.6474,1.000
0.833324948,-0.6779,-0.3493,0.6486,1.001
0.836422552,-0.6784,-0.3508,0.6498,1.003
0.838861979,-0.6782,-0.3513,0.6503,1.003
0.840114635,-0.6779,-0.3518,0.6505,1.003
0.842565,-0.6782,-0.3532,0.6520,1.005
0.844538489,-0.6777,-0.3542,0.6542,1.006
0.847633854,-0.6755,-0.3540,0.6547,1.005
0.849380416,-0.6735,-0.3528,0.6532,1.002
0.851562448,-0.6733,-0.3528,0.6532,1.002
0.854544323,-0.6740,-0.3535,0.6557,1.005
0.856703125,-0.6748,-0.3542,0.6574,1.006
0.858780052,-0.6769,-0.3540,0.6584,1.008
0.860849375,-0.6779,-0.3545,0.6601,1.010
0.863648021,-0.6782,-0.3554,0.6625,1.013
0.866743177,-0.6796,-0.3550,0.6633,1.014
0.868806979,-0.6816,-0.3542,0.6630,1.015
0.871220833,-0.6831,-0.3542,0.6618,1.015
0.873442812,-0.6857,-0.3525,0.6611,1.016
0.875330364,-0.6896,-0.3515,0.6608,1.018
0.87725151,-0.6916,-0.3528,0.6591,1.018
0.881870312,-0.6926,-0.3525,0.6589,1.019
0.883084479,-0.6940,-0.3513,0.6584,1.019
0.884538333,-0.6936,-0.3513,0.6569,1.018
0.887747812,-0.6933,-0.3520,0.6567,1.018
0.892580989,-0.6938,-0.3520,0.6552,1.017
