time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002951,-1.4942,0.1423,-1.1299,1.879
0.003536,-1.5442,0.1596,-1.1881,1.955
0.009033,-1.3868,0.1157,-1.1745,1.821
0.012321,-1.0272,0.0455,-1.0441,1.465
0.015659,-0.6352,-0.0329,-0.8839,1.089
0.021539,-0.3374,-0.0799,-0.7400,0.817
0.026592,-0.1023,-0.0843,-0.4936,0.511
0.030806,0.0938,-0.0257,-0.1043,0.143
0.034630,0.2510,0.0522,0.3562,0.439
0.040053,0.3526,0.1178,0.7656,0.851
0.044502,0.4203,0.1638,1.0256,1.120
0.051277,0.4641,0.1546,1.0856,1.191
0.053272,0.4677,0.0905,0.9476,1.061
0.058873,0.4578,-0.0202,0.6473,0.793
0.064402,0.3986,-0.1409,0.2832,0.509
0.068909,0.2662,-0.2419,-0.0388,0.362
0.073734,0.0796,-0.3080,-0.2800,0.424
0.076759,-0.1206,-0.3125,-0.4348,0.549
0.081636,-0.2009,-0.2770,-0.4288,0.549
0.086738,-0.3405,-0.2322,-0.3533,0.543
0.093624,-0.5967,-0.1592,-0.3186,0.695
0.095736,-0.7682,-0.0604,-0.2893,0.823
0.100402,-0.8529,0.0351,-0.2750,0.897
0.105092,-0.8058,0.1101,-0.2560,0.853
0.109464,-0.6272,0.1547,-0.2467,0.691
0.114507,-0.3844,0.1803,-0.2852,0.511
0.119117,-0.1516,0.1985,-0.3522,0.432
0.123628,0.0112,0.1996,-0.4140,0.460
0.128547,0.1401,0.1905,-0.4515,0.510
0.132994,0.2757,0.1948,-0.4505,0.563
0.138820,0.4014,0.2078,-0.4136,0.613
0.143008,0.4718,0.2247,-0.3627,0.636
0.147299,0.4514,0.2266,-0.3028,0.589
0.154358,0.3547,0.2162,-0.2315,0.476
0.159766,0.2154,0.2011,-0.1561,0.333
0.161333,0.0814,0.1815,-0.1125,0.229
0.167626,-0.0043,0.1576,-0.1102,0.192
0.170391,-0.0250,0.1271,-0.1347,0.187
0.175712,-0.0429,0.1022,-0.1763,0.208
0.180074,-0.0678,0.0757,-0.2324,0.254
0.184567,-0.0568,0.0595,-0.2835,0.295
0.192271,-0.0242,0.0679,-0.3057,0.314
0.193834,0.0060,0.0958,-0.2894,0.305
0.199136,0.0122,0.1525,-0.2516,0.294
0.203344,0.0160,0.2142,-0.1852,0.284
0.208175,0.0367,0.2565,-0.1048,0.279
0.212886,0.0908,0.2865,-0.0488,0.305
0.217142,0.1689,0.3066,-0.0458,0.353
0.223402,0.2326,0.3239,-0.0958,0.410
0.228167,0.2628,0.3218,-0.1483,0.441
0.233065,0.2427,0.3053,-0.1744,0.427
0.236037,0.1962,0.2863,-0.1808,0.391
0.242280,0.1327,0.2771,-0.1721,0.352
0.245700,0.0690,0.2657,-0.1626,0.319
0.250474,0.0364,0.2522,-0.1669,0.305
