time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002413,-0.4325,0.2979,-0.0245,0.526
0.005902,-0.4565,0.2814,-0.1767,0.565
0.009015,-0.4902,0.2468,-0.3724,0.663
0.015143,-0.5290,0.2088,-0.5516,0.792
0.018335,-0.5447,0.1841,-0.6763,0.888
0.022741,-0.5259,0.1894,-0.7395,0.927
0.031078,-0.4801,0.2194,-0.7417,0.910
0.032129,-0.4101,0.2622,-0.7023,0.855
0.037080,-0.3371,0.2983,-0.6290,0.773
0.041870,-0.2727,0.3251,-0.5413,0.688
0.047861,-0.2188,0.3260,-0.4587,0.604
0.051589,-0.1821,0.3175,-0.4050,0.546
0.057338,-0.1528,0.3162,-0.3400,0.489
0.060209,-0.1024,0.3194,-0.2279,0.405
0.065176,-0.0311,0.3408,-0.0860,0.353
0.072799,0.0160,0.3729,0.1259,0.394
0.074382,0.0393,0.4103,0.3594,0.547
0.079416,0.0842,0.4526,0.5406,0.710
0.084131,0.1938,0.4806,0.6197,0.808
0.089319,0.3203,0.4919,0.5688,0.817
0.093907,0.4047,0.4869,0.4243,0.762
0.097699,0.4472,0.4752,0.2605,0.703
0.102511,0.4645,0.4551,0.1256,0.662
0.107454,0.4634,0.4244,0.0243,0.629
0.114113,0.4316,0.3765,-0.0598,0.576
0.116920,0.3479,0.3264,-0.1503,0.500
0.121414,0.2411,0.2864,-0.2684,0.461
0.126892,0.1279,0.2497,-0.3807,0.473
0.130959,-0.0012,0.2215,-0.4466,0.499
0.135163,-0.1344,0.1997,-0.4642,0.523
0.140795,-0.2478,0.1796,-0.4337,0.531
0.148166,-0.3396,0.1566,-0.3482,0.511
0.149634,-0.3933,0.1092,-0.2485,0.478
0.157992,-0.3902,0.0591,-0.1633,0.427
0.159362,-0.3496,0.0393,-0.0926,0.364
0.163413,-0.2907,0.0233,-0.0387,0.294
0.168665,-0.2203,0.0087,0.0172,0.221
0.172991,-0.1458,0.0094,0.0916,0.172
0.177447,-0.0788,0.0225,0.1843,0.202
0.183200,-0.0171,0.0407,0.2835,0.287
0.187712,0.0394,0.0660,0.4054,0.413
0.192818,0.0910,0.0933,0.5214,0.537
0.198102,0.1212,0.1246,0.5814,0.607
0.201771,0.1255,0.1669,0.5979,0.633
0.205995,0.1018,0.1938,0.5994,0.638
0.214692,0.0527,0.2220,0.5814,0.625
0.215403,0.0045,0.2538,0.5608,0.616
0.219647,-0.0360,0.2915,0.5449,0.619
0.224999,-0.0737,0.3374,0.5052,0.612
0.229651,-0.1089,0.3535,0.4279,0.566
0.234204,-0.1463,0.3497,0.3419,0.510
0.239235,-0.1765,0.3571,0.2495,0.470
0.244447,-0.2160,0.3591,0.1603,0.449
0.248367,-0.2624,0.3321,0.0932,0.433
0.255951,-0.2895,0.3099,0.0339,0.425
0.257303,-0.3115,0.2951,-0.0393,0.431
0.265584,-0.3261,0.2734,-0.1048,0.438
0.266663,-0.3262,0.2450,-0.1508,0.435
0.272031,-0.3263,0.2362,-0.1798,0.441
0.276303,-0.3052,0.2304,-0.2014,0.432
0.281804,-0.2772,0.2203,-0.1965,0.405
0.285484,-0.2379,0.2274,-0.1771,0.374
0.290607,-0.1921,0.2231,-0.1599,0.335
0.295022,-0.1493,0.2146,-0.1616,0.307
