time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002211,-0.6782,0.2020,-0.9153,1.157
0.007695,-0.4878,0.1944,-0.7062,0.880
0.008202,-0.2526,0.1667,-0.3820,0.487
0.012069,-0.0113,0.1134,-0.0170,0.115
0.017345,0.2052,0.0454,0.3479,0.406
0.021375,0.3544,-0.0021,0.6765,0.764
0.025629,0.4488,-0.0181,0.9279,1.031
0.030448,0.4838,-0.0077,1.1066,1.208
0.034927,0.4617,0.0335,1.2251,1.310
0.039583,0.3989,0.0910,1.3050,1.368
0.044238,0.3096,0.1531,1.3636,1.407
0.049130,0.2293,0.2028,1.4009,1.434
0.054093,0.1559,0.2309,1.3955,1.423
0.058250,0.1015,0.2350,1.3304,1.355
0.063468,0.0687,0.2370,1.2031,1.228
0.067792,0.0436,0.2467,1.0278,1.058
0.072615,0.0166,0.2480,0.8330,0.869
0.077372,-0.0266,0.2483,0.6381,0.685
0.081885,-0.0645,0.2601,0.4408,0.516
0.086521,-0.1021,0.2743,0.2267,0.370
0.091177,-0.1562,0.2842,0.0200,0.325
0.096862,-0.2100,0.2925,-0.1842,0.404
0.100482,-0.2637,0.3068,-0.3642,0.544
0.105332,-0.3103,0.3081,-0.5079,0.670
0.109739,-0.3283,0.2894,-0.6320,0.769
0.115371,-0.3204,0.2817,-0.7078,0.826
0.119241,-0.2990,0.2801,-0.7038,0.814
0.124169,-0.2617,0.2773,-0.6416,0.746
0.128551,-0.2113,0.2610,-0.5450,0.640
0.133253,-0.1786,0.2525,-0.4048,0.509
0.138191,-0.1634,0.2632,-0.2234,0.382
0.142896,-0.1560,0.2712,-0.0274,0.314
0.148975,-0.1540,0.2571,0.1640,0.342
0.152299,-0.1525,0.2231,0.3650,0.454
0.156865,-0.1320,0.1834,0.5445,0.589
0.161508,-0.0875,0.1544,0.6422,0.666
0.166163,-0.0426,0.1482,0.6772,0.695
0.172304,-0.0234,0.1507,0.6684,0.686
0.175423,-0.0366,0.1619,0.6276,0.649
0.180488,-0.0654,0.1823,0.5429,0.576
0.184799,-0.0690,0.2172,0.3950,0.456
0.189690,-0.0356,0.2380,0.2583,0.353
0.194195,-0.0087,0.2403,0.1714,0.295
0.199060,0.0045,0.2431,0.1175,0.270
0.204064,0.0088,0.2441,0.0655,0.253
0.208255,-0.0173,0.2482,0.0011,0.249
0.213604,-0.0788,0.2625,-0.0684,0.282
0.217901,-0.1543,0.2821,-0.0662,0.328
0.222327,-0.2225,0.2711,0.0149,0.351
0.227139,-0.2670,0.2746,0.0961,0.395
0.232243,-0.2829,0.2925,0.1678,0.440
0.236488,-0.2727,0.2886,0.2133,0.451
0.240961,-0.2436,0.2725,0.2206,0.427
0.246099,-0.2083,0.2640,0.2074,0.395
0.250903,-0.1900,0.2554,0.1587,0.356
0.258055,-0.1981,0.2469,0.1010,0.332
0.259669,-0.2110,0.2624,0.0534,0.341
0.264513,-0.2003,0.2757,0.0160,0.341
0.269220,-0.1901,0.2726,0.0077,0.332
0.274218,-0.1828,0.2627,0.0094,0.320
0.278567,-0.1830,0.2580,0.0185,0.317
0.283318,-0.1813,0.2487,0.0493,0.312
0.288530,-0.1657,0.2441,0.1086,0.314
0.292989,-0.1291,0.2463,0.1795,0.331
0.297544,-0.0622,0.2409,0.2310,0.340
0.302167,0.0090,0.2351,0.2701,0.358
0.306857,0.0657,0.2313,0.3085,0.391
0.311458,0.0943,0.2177,0.3269,0.404
0.316139,0.1070,0.2063,0.3229,0.398
0.322222,0.1326,0.1902,0.3132,0.390
0.325484,0.1709,0.1837,0.3075,0.397
0.330674,0.2073,0.1891,0.2987,0.410
0.334778,0.2252,0.1992,0.2751,0.408
0.339454,0.2127,0.2212,0.2394,0.389
0.344143,0.1677,0.2455,0.1820,0.349
0.348946,0.1116,0.2578,0.1105,0.302
0.353977,0.0394,0.2607,0.0515,0.269
0.358240,-0.0444,0.2591,-0.0019,0.263
0.363637,-0.0925,0.2649,-0.0212,0.281
0.367780,-0.1316,0.2731,0.0151,0.304
0.375338,-0.1734,0.2763,0.0801,0.336
0.377122,-0.1681,0.2886,0.1310,0.359
0.381696,-0.1088,0.2884,0.1390,0.338
0.386448,-0.0359,0.2620,0.1045,0.284
0.391192,0.0054,0.2334,0.0348,0.236
0.396226,-0.0108,0.2172,-0.0342,0.220
0.400299,-0.0650,0.2111,-0.1096,0.247
0.405410,-0.1283,0.2082,-0.1654,0.295
0.409646,-0.1457,0.2179,-0.1781,0.317
0.414438,-0.1128,0.2306,-0.1600,0.302
0.419083,-0.0800,0.2366,-0.0899,0.265
0.423931,-0.0662,0.2334,-0.0088,0.243
0.428455,-0.0615,0.2184,0.0522,0.233
0.433222,-0.0494,0.2104,0.0888,0.234
0.438416,-0.0278,0.1904,0.0869,0.211
0.442882,-0.0204,0.1656,0.0517,0.175
0.447466,-0.0440,0.1341,-0.0022,0.141
0.452199,-0.0676,0.1219,-0.0697,0.156
0.456735,-0.0654,0.1242,-0.0864,0.165
0.461422,-0.0068,0.1359,-0.0193,0.137
0.465848,0.0863,0.1638,0.0833,0.203
0.472018,0.1690,0.1931,0.1756,0.311
0.475379,0.2083,0.2238,0.2172,0.375
0.480240,0.1952,0.2344,0.2037,0.367
0.484694,0.1323,0.2063,0.1785,0.303
0.489483,0.0434,0.1732,0.1276,0.219
0.494143,-0.0499,0.1475,0.0538,0.165
0.499119,-0.1311,0.1268,-0.0285,0.185
0.503479,-0.1786,0.1043,-0.0861,0.224
0.508204,-0.1974,0.0776,-0.0861,0.229
0.513977,-0.1968,0.0493,-0.0649,0.213
0.517799,-0.1697,0.0265,-0.0157,0.172
0.522278,-0.1209,0.0162,0.0231,0.124
0.526938,-0.1026,0.0162,0.0255,0.107
0.531550,-0.1361,0.0240,0.0108,0.139
0.536507,-0.1780,0.0421,-0.0138,0.183
0.540900,-0.2381,0.0824,-0.0053,0.252
0.546728,-0.3093,0.1185,0.0337,0.333
0.550410,-0.3438,0.1338,0.0865,0.379
0.555525,-0.3538,0.1304,0.1693,0.413
0.559654,-0.3346,0.1179,0.2842,0.455
0.564718,-0.2862,0.1150,0.3808,0.490
0.569405,-0.2373,0.1167,0.4379,0.512
0.574285,-0.2163,0.1182,0.4321,0.497
0.579089,-0.2350,0.1337,0.3758,0.463
0.583275,-0.2886,0.1657,0.2863,0.439
0.588137,-0.3630,0.1996,0.1832,0.453
0.593010,-0.4346,0.2309,0.0717,0.497
0.597550,-0.4610,0.2762,-0.0527,0.540
0.602021,-0.4522,0.3308,-0.1660,0.584
